,original_idx,statement,label,n1,n2,diff,abs_diff
400,1254,Eighty-two is smaller than seventy-five.,0,82,75,7,7
404,1258,Eighty-two is smaller than seventy-nine.,0,82,79,3,3
408,1278,Eighty-three is smaller than fifty-three.,0,83,53,30,30
412,1282,Eighty-three is smaller than fifty-seven.,0,83,57,26,26
416,1286,Eighty-three is smaller than sixty-two.,0,83,62,21,21
420,1290,Eighty-three is smaller than sixty-six.,0,83,66,17,17
424,1294,Eighty-three is smaller than seventy-one.,0,83,71,12,12
428,1298,Eighty-three is smaller than seventy-five.,0,83,75,8,8
432,1302,Eighty-three is smaller than seventy-nine.,0,83,79,4,4
436,1321,Eighty-four is smaller than fifty-two.,0,84,52,32,32
440,1325,Eighty-four is smaller than fifty-six.,0,84,56,28,28
444,1329,Eighty-four is smaller than sixty-one.,0,84,61,23,23
448,1333,Eighty-four is smaller than sixty-five.,0,84,65,19,19
452,1337,Eighty-four is smaller than sixty-nine.,0,84,69,15,15
456,1341,Eighty-four is smaller than seventy-four.,0,84,74,10,10
460,1345,Eighty-four is smaller than seventy-eight.,0,84,78,6,6
464,1349,Eighty-four is smaller than eighty-three.,0,84,83,1,1
468,1367,Eighty-five is smaller than fifty-four.,0,85,54,31,31
472,1371,Eighty-five is smaller than fifty-eight.,0,85,58,27,27
476,1375,Eighty-five is smaller than sixty-three.,0,85,63,22,22
480,1379,Eighty-five is smaller than sixty-seven.,0,85,67,18,18
484,1383,Eighty-five is smaller than seventy-two.,0,85,72,13,13
488,1387,Eighty-five is smaller than seventy-six.,0,85,76,9,9
492,1391,Eighty-five is smaller than eighty-one.,0,85,81,4,4
496,1408,Eighty-six is smaller than fifty-one.,0,86,51,35,35
500,1412,Eighty-six is smaller than fifty-five.,0,86,55,31,31
504,1416,Eighty-six is smaller than fifty-nine.,0,86,59,27,27
508,1420,Eighty-six is smaller than sixty-four.,0,86,64,22,22
512,1424,Eighty-six is smaller than sixty-eight.,0,86,68,18,18
516,1428,Eighty-six is smaller than seventy-three.,0,86,73,13,13
520,1432,Eighty-six is smaller than seventy-seven.,0,86,77,9,9
524,1436,Eighty-six is smaller than eighty-two.,0,86,82,4,4
528,1452,Eighty-seven is smaller than fifty-one.,0,87,51,36,36
532,1456,Eighty-seven is smaller than fifty-five.,0,87,55,32,32
536,1460,Eighty-seven is smaller than fifty-nine.,0,87,59,28,28
540,1464,Eighty-seven is smaller than sixty-four.,0,87,64,23,23
544,1468,Eighty-seven is smaller than sixty-eight.,0,87,68,19,19
548,1472,Eighty-seven is smaller than seventy-three.,0,87,73,14,14
552,1476,Eighty-seven is smaller than seventy-seven.,0,87,77,10,10
556,1480,Eighty-seven is smaller than eighty-two.,0,87,82,5,5
560,1484,Eighty-seven is smaller than eighty-six.,0,87,86,1,1
564,1499,Eighty-eight is smaller than fifty-four.,0,88,54,34,34
568,1503,Eighty-eight is smaller than fifty-eight.,0,88,58,30,30
572,1507,Eighty-eight is smaller than sixty-three.,0,88,63,25,25
576,1511,Eighty-eight is smaller than sixty-seven.,0,88,67,21,21
580,1515,Eighty-eight is smaller than seventy-two.,0,88,72,16,16
584,1519,Eighty-eight is smaller than seventy-six.,0,88,76,12,12
588,1523,Eighty-eight is smaller than eighty-one.,0,88,81,7,7
592,1527,Eighty-eight is smaller than eighty-five.,0,88,85,3,3
596,1541,Eighty-nine is smaller than fifty-two.,0,89,52,37,37
600,1545,Eighty-nine is smaller than fifty-six.,0,89,56,33,33
604,1549,Eighty-nine is smaller than sixty-one.,0,89,61,28,28
608,1553,Eighty-nine is smaller than sixty-five.,0,89,65,24,24
612,1557,Eighty-nine is smaller than sixty-nine.,0,89,69,20,20
616,1561,Eighty-nine is smaller than seventy-four.,0,89,74,15,15
620,1565,Eighty-nine is smaller than seventy-eight.,0,89,78,11,11
624,1569,Eighty-nine is smaller than eighty-three.,0,89,83,6,6
628,1573,Eighty-nine is smaller than eighty-seven.,0,89,87,2,2
632,1586,Ninety-one is smaller than fifty-three.,0,91,53,38,38
636,1590,Ninety-one is smaller than fifty-seven.,0,91,57,34,34
640,1594,Ninety-one is smaller than sixty-two.,0,91,62,29,29
644,1598,Ninety-one is smaller than sixty-six.,0,91,66,25,25
648,1602,Ninety-one is smaller than seventy-one.,0,91,71,20,20
652,1606,Ninety-one is smaller than seventy-five.,0,91,75,16,16
656,1610,Ninety-one is smaller than seventy-nine.,0,91,79,12,12
660,1614,Ninety-one is smaller than eighty-four.,0,91,84,7,7
664,1618,Ninety-one is smaller than eighty-eight.,0,91,88,3,3
668,1630,Ninety-two is smaller than fifty-three.,0,92,53,39,39
672,1634,Ninety-two is smaller than fifty-seven.,0,92,57,35,35
676,1638,Ninety-two is smaller than sixty-two.,0,92,62,30,30
680,1642,Ninety-two is smaller than sixty-six.,0,92,66,26,26
684,1646,Ninety-two is smaller than seventy-one.,0,92,71,21,21
688,1650,Ninety-two is smaller than seventy-five.,0,92,75,17,17
692,1654,Ninety-two is smaller than seventy-nine.,0,92,79,13,13
696,1658,Ninety-two is smaller than eighty-four.,0,92,84,8,8
700,1662,Ninety-two is smaller than eighty-eight.,0,92,88,4,4
704,1673,Ninety-three is smaller than fifty-two.,0,93,52,41,41
708,1677,Ninety-three is smaller than fifty-six.,0,93,56,37,37
712,1681,Ninety-three is smaller than sixty-one.,0,93,61,32,32
716,1685,Ninety-three is smaller than sixty-five.,0,93,65,28,28
720,1689,Ninety-three is smaller than sixty-nine.,0,93,69,24,24
724,1693,Ninety-three is smaller than seventy-four.,0,93,74,19,19
728,1697,Ninety-three is smaller than seventy-eight.,0,93,78,15,15
732,1701,Ninety-three is smaller than eighty-three.,0,93,83,10,10
736,1705,Ninety-three is smaller than eighty-seven.,0,93,87,6,6
740,1709,Ninety-three is smaller than ninety-two.,0,93,92,1,1
744,1719,Ninety-four is smaller than fifty-four.,0,94,54,40,40
748,1723,Ninety-four is smaller than fifty-eight.,0,94,58,36,36
752,1727,Ninety-four is smaller than sixty-three.,0,94,63,31,31
756,1731,Ninety-four is smaller than sixty-seven.,0,94,67,27,27
760,1735,Ninety-four is smaller than seventy-two.,0,94,72,22,22
764,1739,Ninety-four is smaller than seventy-six.,0,94,76,18,18
768,1743,Ninety-four is smaller than eighty-one.,0,94,81,13,13
772,1747,Ninety-four is smaller than eighty-five.,0,94,85,9,9
776,1751,Ninety-four is smaller than eighty-nine.,0,94,89,5,5
780,1760,Ninety-five is smaller than fifty-one.,0,95,51,44,44
784,1764,Ninety-five is smaller than fifty-five.,0,95,55,40,40
788,1768,Ninety-five is smaller than fifty-nine.,0,95,59,36,36
792,1772,Ninety-five is smaller than sixty-four.,0,95,64,31,31
796,1776,Ninety-five is smaller than sixty-eight.,0,95,68,27,27
800,1780,Ninety-five is smaller than seventy-three.,0,95,73,22,22
804,1784,Ninety-five is smaller than seventy-seven.,0,95,77,18,18
808,1788,Ninety-five is smaller than eighty-two.,0,95,82,13,13
812,1792,Ninety-five is smaller than eighty-six.,0,95,86,9,9
816,1796,Ninety-five is smaller than ninety-one.,0,95,91,4,4
820,1804,Ninety-six is smaller than fifty-one.,0,96,51,45,45
824,1808,Ninety-six is smaller than fifty-five.,0,96,55,41,41
828,1812,Ninety-six is smaller than fifty-nine.,0,96,59,37,37
832,1816,Ninety-six is smaller than sixty-four.,0,96,64,32,32
836,1820,Ninety-six is smaller than sixty-eight.,0,96,68,28,28
840,1824,Ninety-six is smaller than seventy-three.,0,96,73,23,23
844,1828,Ninety-six is smaller than seventy-seven.,0,96,77,19,19
848,1832,Ninety-six is smaller than eighty-two.,0,96,82,14,14
852,1836,Ninety-six is smaller than eighty-six.,0,96,86,10,10
856,1840,Ninety-six is smaller than ninety-one.,0,96,91,5,5
860,1844,Ninety-six is smaller than ninety-five.,0,96,95,1,1
864,1851,Ninety-seven is smaller than fifty-four.,0,97,54,43,43
868,1855,Ninety-seven is smaller than fifty-eight.,0,97,58,39,39
872,1859,Ninety-seven is smaller than sixty-three.,0,97,63,34,34
876,1863,Ninety-seven is smaller than sixty-seven.,0,97,67,30,30
880,1867,Ninety-seven is smaller than seventy-two.,0,97,72,25,25
884,1871,Ninety-seven is smaller than seventy-six.,0,97,76,21,21
888,1875,Ninety-seven is smaller than eighty-one.,0,97,81,16,16
892,1879,Ninety-seven is smaller than eighty-five.,0,97,85,12,12
896,1883,Ninety-seven is smaller than eighty-nine.,0,97,89,8,8
900,1887,Ninety-seven is smaller than ninety-four.,0,97,94,3,3
904,1893,Ninety-eight is smaller than fifty-two.,0,98,52,46,46
908,1897,Ninety-eight is smaller than fifty-six.,0,98,56,42,42
912,1901,Ninety-eight is smaller than sixty-one.,0,98,61,37,37
916,1905,Ninety-eight is smaller than sixty-five.,0,98,65,33,33
920,1909,Ninety-eight is smaller than sixty-nine.,0,98,69,29,29
924,1913,Ninety-eight is smaller than seventy-four.,0,98,74,24,24
928,1917,Ninety-eight is smaller than seventy-eight.,0,98,78,20,20
932,1921,Ninety-eight is smaller than eighty-three.,0,98,83,15,15
936,1925,Ninety-eight is smaller than eighty-seven.,0,98,87,11,11
940,1929,Ninety-eight is smaller than ninety-two.,0,98,92,6,6
944,1933,Ninety-eight is smaller than ninety-six.,0,98,96,2,2
948,1938,Ninety-nine is smaller than fifty-three.,0,99,53,46,46
952,1942,Ninety-nine is smaller than fifty-seven.,0,99,57,42,42
956,1946,Ninety-nine is smaller than sixty-two.,0,99,62,37,37
960,1950,Ninety-nine is smaller than sixty-six.,0,99,66,33,33
964,1954,Ninety-nine is smaller than seventy-one.,0,99,71,28,28
968,1958,Ninety-nine is smaller than seventy-five.,0,99,75,24,24
972,1962,Ninety-nine is smaller than seventy-nine.,0,99,79,20,20
976,1966,Ninety-nine is smaller than eighty-four.,0,99,84,15,15
980,1970,Ninety-nine is smaller than eighty-eight.,0,99,88,11,11
984,1974,Ninety-nine is smaller than ninety-three.,0,99,93,6,6
988,1978,Ninety-nine is smaller than ninety-seven.,0,99,97,2,2
