,Unnamed: 0,original_idx,statement,label,n1,n2,diff,abs_diff
955,844,1828,Ninety-six is smaller than seventy-seven.,0,96,77,19,19
735,956,1622,Ninety-one is smaller than ninety-four.,1,91,94,-3,3
313,260,281,Fifty-seven is larger than seventy-one.,0,57,71,-14,14
626,520,611,Sixty-five is smaller than ninety-five.,1,65,95,-30,30
929,740,1709,Ninety-three is smaller than ninety-two.,0,93,92,1,1
398,600,736,Sixty-eight is larger than eighty-seven.,0,68,87,-19,19
451,812,1137,Seventy-eight is larger than ninety-three.,0,78,93,-15,15
526,120,123,Fifty-three is smaller than ninety-one.,1,53,91,-38,38
862,472,1371,Eighty-five is smaller than fifty-eight.,0,85,58,27,27
484,944,1539,Eighty-eight is larger than ninety-nine.,0,88,99,-11,11
934,760,1735,Ninety-four is smaller than seventy-two.,0,94,72,22,22
472,896,1361,Eighty-four is larger than ninety-seven.,0,84,97,-13,13
292,176,186,Fifty-five is larger than sixty-three.,0,55,63,-8,8
417,676,866,Seventy-two is larger than eighty-five.,0,72,85,-13,13
910,664,1618,Ninety-one is smaller than eighty-eight.,0,91,88,3,3
538,168,174,Fifty-four is smaller than ninety-eight.,1,54,98,-44,44
383,540,645,Sixty-six is larger than eighty-four.,0,66,84,-18,18
680,736,967,Seventy-four is smaller than ninety-nine.,1,74,99,-25,25
256,32,32,Fifty-one is larger than eighty-seven.,0,51,87,-36,36
113,452,1337,Eighty-four is larger than sixty-nine.,1,84,69,15,15
21,84,578,Sixty-five is larger than fifty-seven.,1,65,57,8,8
820,304,1104,Seventy-eight is smaller than fifty-five.,0,78,55,23,23
733,948,1578,Eighty-nine is smaller than ninety-four.,1,89,94,-5,5
450,808,1133,Seventy-eight is larger than eighty-eight.,0,78,88,-10,10
837,372,1209,Eighty-one is smaller than seventy-four.,0,81,74,7,7
546,200,210,Fifty-five is smaller than eighty-nine.,1,55,89,-34,34
699,812,1137,Seventy-eight is smaller than ninety-three.,1,78,93,-15,15
339,364,409,Sixty-one is larger than sixty-six.,0,61,66,-5,5
343,380,425,Sixty-one is larger than eighty-four.,0,61,84,-23,23
287,156,162,Fifty-four is larger than eighty-five.,0,54,85,-31,31
15,60,489,Sixty-three is larger than fifty-six.,1,63,56,7,7
742,984,1845,Ninety-six is smaller than ninety-seven.,1,96,97,-1,1
610,456,522,Sixty-three is smaller than ninety-four.,1,63,94,-31,31
84,336,1155,Seventy-nine is larger than sixty-three.,1,79,63,16,16
479,924,1485,Eighty-seven is larger than eighty-eight.,0,87,88,-1,1
70,280,1060,Seventy-seven is larger than fifty-five.,1,77,55,22,22
46,184,849,Seventy-two is larger than sixty-five.,1,72,65,7,7
540,176,186,Fifty-five is smaller than sixty-three.,1,55,63,-8,8
330,328,364,Fifty-nine is larger than sixty-five.,0,59,65,-6,6
86,344,1163,Seventy-nine is larger than seventy-two.,1,79,72,7,7
266,72,73,Fifty-two is larger than eighty-four.,0,52,84,-32,32
960,864,1851,Ninety-seven is smaller than fifty-four.,0,97,54,43,43
644,592,728,Sixty-eight is smaller than seventy-eight.,1,68,78,-10,10
789,180,845,Seventy-two is smaller than sixty-one.,0,72,61,11,11
58,232,969,Seventy-five is larger than fifty-two.,1,75,52,23,23
928,736,1705,Ninety-three is smaller than eighty-seven.,0,93,87,6,6
12,48,443,Sixty-two is larger than fifty-four.,1,62,54,8,8
706,840,1218,Eighty-one is smaller than eighty-five.,1,81,85,-4,4
319,284,305,Fifty-seven is larger than ninety-seven.,0,57,97,-40,40
602,424,479,Sixty-two is smaller than ninety-five.,1,62,95,-33,33
